代码,名称,网格评分,日均振幅(%),震荡纯度,近20日成交额,MA变异系数,趋势斜率
600649,城投控股,15.32,3.56,0.979,5.19 亿,0.091,0.0362
300331,苏大维格,15.31,5.16,0.93,7.82 亿,0.1802,0.0332
300352,北信源,15.3,4.18,0.966,4.35 亿,0.1197,0.0442
300037,新宙邦,15.3,4.11,0.977,9.87 亿,0.142,0.0205
002474,榕基软件,15.3,4.4,0.989,2.85 亿,0.1701,0.0141
300693,盛弘股份,15.29,4.53,0.975,3.74 亿,0.1637,0.0253
603960,克来机电,15.29,3.87,0.965,4.06 亿,0.1238,0.0203
002207,准油股份,15.29,4.54,0.96,5.51 亿,0.1726,0.0124
002659,凯文教育,15.28,4.25,0.972,2.09 亿,0.125,0.0452
000056,皇庭国际,15.26,5.17,0.976,2.36 亿,0.1865,0.0442
601121,宝地矿业,15.25,3.14,0.985,2.74 亿,0.086,0.0167
300828,锐新科技,15.24,4.44,0.939,3.53 亿,0.1294,0.044
688777,中控技术,15.24,3.52,0.939,28.27 亿,0.1075,0.0095
000036,华联控股,15.24,3.81,0.974,4.67 亿,0.1177,0.0258
002937,兴瑞科技,15.23,3.78,0.985,2.61 亿,0.0979,0.0464
600828,茂业商业,15.23,4.67,0.963,5.31 亿,0.1612,0.0343
002702,海欣食品,15.19,4.28,0.986,3.76 亿,0.1511,0.0268
300428,立中集团,15.16,3.55,0.981,3.33 亿,0.112,0.0177
000938,紫光股份,15.15,3.59,0.998,12.99 亿,0.1142,0.022
002036,联创电子,15.15,4.18,0.989,5.05 亿,0.143,0.0301
603507,振江股份,15.15,4.03,0.957,3.20 亿,0.1101,0.0444
600307,酒钢宏兴,15.14,3.01,0.974,2.85 亿,0.0836,0.0099
688020,方邦股份,15.14,5.67,0.928,2.19 亿,0.2309,0.0165
600707,彩虹股份,15.13,3.34,0.985,3.03 亿,0.096,0.0211
002114,罗平锌电,15.12,4.25,0.959,3.24 亿,0.1474,0.0225
002182,宝武镁业,15.11,3.67,0.947,7.89 亿,0.1127,0.0171
300683,海特生物,15.11,4.78,0.995,2.71 亿,0.195,0.0199
300413,芒果超媒,15.09,3.55,0.985,8.47 亿,0.1106,0.021
000670,盈方微,15.08,4.67,0.973,6.69 亿,0.1523,0.0492
688586,江航装备,15.06,3.42,0.961,3.11 亿,0.1095,0.0087
688146,中船特气,15.06,3.72,0.961,2.96 亿,0.1289,0.0086
002735,王子新材,15.05,4.89,0.972,3.60 亿,0.1829,0.0327
603186,华正新材,15.05,5.22,0.905,8.84 亿,0.1935,0.0205
601226,华电科工,15.02,3.66,0.921,8.51 亿,0.1053,0.0196
603031,安孚科技,15.02,3.92,0.935,5.39 亿,0.1275,0.0169
300483,首华燃气,15.02,4.62,0.971,5.55 亿,0.1893,0.0097
000555,神州信息,15.0,4.23,0.961,7.27 亿,0.128,0.0431
002244,滨江集团,14.96,4.09,0.986,4.36 亿,0.1219,0.0474
600237,铜峰电子,14.94,3.75,0.963,3.58 亿,0.1264,0.0151
000683,博源化工,14.93,3.11,0.951,5.08 亿,0.0836,0.0144
301066,万事利,14.93,5.02,0.991,2.30 亿,0.1997,0.0337
300228,富瑞特装,14.93,3.93,0.939,5.54 亿,0.1013,0.046
301162,国能日新,14.92,4.8,0.968,2.60 亿,0.1986,0.0128
688052,纳芯微,14.92,5.26,0.979,6.24 亿,0.1985,0.0463
002187,广百股份,14.91,4.07,0.994,2.23 亿,0.1446,0.0265
603861,白云电器,14.91,3.95,0.917,5.86 亿,0.1063,0.037
300567,精测电子,14.9,4.82,0.936,19.83 亿,0.1541,0.0485
688262,国芯科技,14.9,5.02,0.978,9.93 亿,0.2052,0.0246
300508,维宏股份,14.87,4.25,0.951,2.19 亿,0.1502,0.0216
600563,法拉电子,14.86,3.5,0.993,5.17 亿,0.1167,0.0169
000636,风华高科,14.85,3.1,0.92,19.06 亿,0.0793,0.0125
002151,北斗星通,14.84,3.2,0.96,13.56 亿,0.0923,0.0149
600076,康欣新材,14.81,4.26,0.959,2.69 亿,0.1736,0.002
000932,华菱钢铁,14.8,3.1,0.974,6.07 亿,0.0965,0.0078
600785,新华百货,14.79,3.99,0.954,6.84 亿,0.1222,0.035
300188,国投智能,14.77,4.13,0.982,5.23 亿,0.1409,0.0335
688172,燕东微,14.77,4.46,0.918,8.06 亿,0.1457,0.032
688135,利扬芯片,14.77,4.84,0.951,5.15 亿,0.1763,0.035
603118,共进股份,14.74,4.56,0.99,3.10 亿,0.1727,0.0334
300416,苏试试验,14.72,4.01,0.987,4.75 亿,0.1465,0.022
600470,六国化工,14.69,3.67,0.96,2.71 亿,0.1099,0.03
000995,皇台酒业,14.69,4.32,0.993,5.38 亿,0.1626,0.029
000078,海王生物,14.69,3.53,0.985,6.02 亿,0.1097,0.0269
002721,金一文化,14.67,3.57,0.996,3.93 亿,0.1323,0.0103
002697,红旗连锁,14.66,3.02,0.984,2.63 亿,0.0767,0.0262
002739,万达电影,14.63,3.06,0.975,15.25 亿,0.0698,0.0343
002429,兆驰股份,14.61,3.34,0.907,16.78 亿,0.0879,0.0194
603179,新泉股份,14.61,4.37,0.953,10.81 亿,0.1399,0.0454
301069,凯盛新材,14.59,4.65,0.981,3.28 亿,0.1996,0.0128
603936,博敏电子,14.59,4.1,0.978,3.94 亿,0.1625,0.0122
300129,泰胜风能,14.58,3.94,0.939,9.12 亿,0.1155,0.0384
600522,中天科技,14.58,3.23,0.902,41.58 亿,0.0756,0.0243
600100,同方股份,14.54,3.51,0.971,7.62 亿,0.1222,0.012
002879,长缆科技,14.54,3.52,0.946,2.32 亿,0.0944,0.0349
300068,南都电源,14.51,4.67,0.998,4.57 亿,0.1888,0.0325
002445,中南文化,14.5,3.41,0.982,2.32 亿,0.1085,0.0226
000607,华媒控股,14.5,3.82,0.991,4.07 亿,0.1367,0.0242
300385,雪浪环境,14.5,4.5,0.924,2.63 亿,0.1612,0.0257
603885,吉祥航空,14.5,3.14,0.986,2.16 亿,0.0942,0.0194
002235,安妮股份,14.47,4.67,0.978,4.85 亿,0.2071,0.0086
300427,红相股份,14.46,4.86,0.941,11.64 亿,0.2073,0.0088
000659,珠海中富,14.46,4.7,0.954,2.39 亿,0.1745,0.0355
688518,联赢激光,14.4,4.55,0.973,3.28 亿,0.2036,0.0043
688099,晶晨股份,14.39,4.23,0.99,11.43 亿,0.154,0.0374
300676,华大基因,14.38,3.31,0.993,3.94 亿,0.1244,0.0044
002373,千方科技,14.38,3.61,0.997,4.97 亿,0.1181,0.0324
300148,天舟文化,14.38,4.79,0.989,4.79 亿,0.1951,0.0345
002451,摩恩电气,14.38,3.86,0.955,2.34 亿,0.126,0.0303
688035,德邦科技,14.37,4.94,0.97,4.91 亿,0.1976,0.0357
002446,盛路通信,14.36,4.15,0.969,8.81 亿,0.154,0.0259
001360,南矿集团,14.35,3.63,0.949,2.50 亿,0.1237,0.0164
605111,新洁能,14.35,3.79,0.94,13.17 亿,0.1034,0.045
600408,安泰集团,14.34,4.81,0.962,2.49 亿,0.2028,0.0197
603225,新凤鸣,14.34,3.58,0.937,4.22 亿,0.1131,0.0211
300457,赢合科技,14.34,4.52,0.987,4.48 亿,0.1614,0.0497
002230,科大讯飞,14.33,3.26,0.995,43.40 亿,0.1113,0.0146
603888,新华网,14.32,3.42,0.998,9.17 亿,0.11,0.0279
300855,图南股份,14.32,4.05,0.949,3.99 亿,0.1306,0.0379
000785,居然智家,14.31,3.55,0.98,2.23 亿,0.131,0.012
603138,海量数据,14.29,4.38,0.991,6.36 亿,0.1616,0.0419
300073,当升科技,14.29,3.99,0.975,9.02 亿,0.1406,0.0313
601890,亚星锚链,14.28,3.37,0.958,8.97 亿,0.1191,0.0069
688396,华润微,14.25,3.08,0.996,10.74 亿,0.1107,0.0044
601155,新城控股,14.25,3.78,0.98,4.07 亿,0.1364,0.0234
300613,富瀚微,14.24,4.14,0.995,3.58 亿,0.1683,0.0207
300596,利安隆,14.24,3.7,0.95,2.34 亿,0.1412,0.0058
002256,兆新股份,14.22,4.24,0.959,2.88 亿,0.1477,0.0385
002438,江苏神通,14.21,3.59,0.937,5.51 亿,0.0919,0.0452
000572,海马汽车,14.21,4.88,0.97,4.26 亿,0.1933,0.0394
301358,湖南裕能,14.2,4.66,0.956,14.29 亿,0.1743,0.0395
601233,桐昆股份,14.19,3.17,0.92,8.42 亿,0.0857,0.0196
300226,上海钢联,14.18,4.22,0.984,5.53 亿,0.1591,0.0335
301120,新特电气,14.18,5.01,0.946,6.09 亿,0.2113,0.0231
600862,中航高科,14.16,3.02,0.987,9.09 亿,0.0888,0.0218
000420,吉林化纤,14.16,3.71,0.969,4.99 亿,0.1056,0.0483
601116,三江购物,14.16,4.23,0.976,7.43 亿,0.1592,0.0325
688700,东威科技,14.15,5.44,0.998,4.36 亿,0.2343,0.0495
300191,潜能恒信,14.12,4.18,0.923,9.57 亿,0.148,0.025
002667,威领股份,14.12,5.33,0.954,5.06 亿,0.2555,0.0044
688111,金山办公,14.11,4.31,0.983,22.92 亿,0.165,0.0353
605136,丽人丽妆,14.1,4.52,0.997,2.41 亿,0.2017,0.0183
002589,瑞康医药,14.09,3.21,0.999,2.04 亿,0.1075,0.0204
003042,中农联合,14.09,3.8,0.996,3.17 亿,0.1365,0.0325
301269,华大九天,14.09,3.83,0.997,5.39 亿,0.1357,0.035
688359,三孚新科,14.08,5.05,0.976,2.48 亿,0.2205,0.0294
300057,万顺新材,14.05,4.09,0.998,2.41 亿,0.1537,0.0367
300471,厚普股份,14.04,4.22,0.976,4.34 亿,0.1526,0.0412
300582,英飞特,14.04,4.48,0.974,2.41 亿,0.1666,0.044
300558,贝达药业,14.0,3.98,0.999,2.54 亿,0.1509,0.0331
002006,精工科技,13.98,3.98,0.981,3.20 亿,0.1517,0.0272
688037,芯源微,13.95,5.29,0.926,13.14 亿,0.2066,0.0443
